see star	0.08	0.156	0.535	0.307	0.249
hit wall	0.11	0.209	0.493	0.322	0.270
pull leg	0.22	0.181	0.483	0.302	0.264
hold fire	0.30	0.226	0.355	0.277	0.277
make pile	0.32	0.161	0.403	0.258	0.246
blow whistle	0.35	0.000	0.000	0.000	0.000
make hit	0.36	0.222	0.423	0.302	0.282
get wind	0.46	0.150	0.501	0.290	0.245
lose head	0.53	0.371	0.350	0.363	0.367
make hay	0.53	0.264	0.619	0.406	0.306
make scene	0.60	0.212	0.373	0.276	0.284
hit roof	0.61	0.346	0.515	0.414	0.349
blow trumpet	0.66	0.434	0.834	0.594	0.408
make face	0.66	0.172	0.377	0.254	0.280
pull plug	0.69	0.232	0.730	0.431	0.288
take heart	0.75	0.232	0.401	0.300	0.318
hit road	0.78	0.379	0.467	0.414	0.374
kick heel	0.79	0.806	0.586	0.718	0.623
pull punch	0.82	0.292	0.652	0.436	0.308
pull weight	0.82	0.466	0.497	0.478	0.421
blow top	0.82	0.480	0.753	0.589	0.422
cut figure	0.84	0.284	0.387	0.325	0.318
make mark	0.85	0.317	0.521	0.399	0.374
get sack	0.86	0.308	0.663	0.450	0.347
have word	0.88	0.139	0.341	0.220	0.279
get nod	0.88	0.310	0.449	0.366	0.331
lose thread	0.90	0.260	0.786	0.470	0.283
find foot	0.91	0.691	0.384	0.568	0.558
